the 1th sweep pathNo.,elemLabel
1,1
2,9
3,17
4,25
5,33
6,41
7,49
8,57
9,65
10,73
11,81
12,89
13,97
14,105
15,113
16,121
17,129
18,137
19,145
20,153
21,161
22,169
23,177
24,185
25,193
26,201
27,209
the 2th sweep pathNo.,elemLabel
1,2
2,10
3,18
4,26
5,34
6,42
7,50
8,58
9,66
10,74
11,82
12,90
13,98
14,106
15,114
16,122
17,130
18,138
19,146
20,154
21,162
22,170
23,178
24,186
25,194
26,202
27,210
the 3th sweep pathNo.,elemLabel
1,3
2,11
3,19
4,27
5,35
6,43
7,51
8,59
9,67
10,75
11,83
12,91
13,99
14,107
15,115
16,123
17,131
18,139
19,147
20,155
21,163
22,171
23,179
24,187
25,195
26,203
27,211
the 4th sweep pathNo.,elemLabel
1,4
2,12
3,20
4,28
5,36
6,44
7,52
8,60
9,68
10,76
11,84
12,92
13,100
14,108
15,116
16,124
17,132
18,140
19,148
20,156
21,164
22,172
23,180
24,188
25,196
26,204
27,212
the 5th sweep pathNo.,elemLabel
1,5
2,13
3,21
4,29
5,37
6,45
7,53
8,61
9,69
10,77
11,85
12,93
13,101
14,109
15,117
16,125
17,133
18,141
19,149
20,157
21,165
22,173
23,181
24,189
25,197
26,205
27,213
the 6th sweep pathNo.,elemLabel
1,6
2,14
3,22
4,30
5,38
6,46
7,54
8,62
9,70
10,78
11,86
12,94
13,102
14,110
15,118
16,126
17,134
18,142
19,150
20,158
21,166
22,174
23,182
24,190
25,198
26,206
27,214
the 7th sweep pathNo.,elemLabel
1,7
2,15
3,23
4,31
5,39
6,47
7,55
8,63
9,71
10,79
11,87
12,95
13,103
14,111
15,119
16,127
17,135
18,143
19,151
20,159
21,167
22,175
23,183
24,191
25,199
26,207
27,215
the 8th sweep pathNo.,elemLabel
1,8
2,16
3,24
4,32
5,40
6,48
7,56
8,64
9,72
10,80
11,88
12,96
13,104
14,112
15,120
16,128
17,136
18,144
19,152
20,160
21,168
22,176
23,184
24,192
25,200
26,208
27,216
