No.,toeNodeLabel,x,y,z
1,571,25.0,-10.0,43.3012695312
2,578,24.0,-10.0,41.5692176819
3,597,23.0,-10.0,39.8371696472
4,629,22.0,-10.0,38.1051177979
5,570,21.0,-10.0,36.3730659485
6,640,20.0,-10.0,34.6410140991
7,596,19.0,-10.0,32.9089660645
8,617,18.0,-10.0,31.1769142151
9,595,17.0,-10.0,29.4448623657
10,623,16.0,-10.0,27.7128124237
11,651,15.0,-10.0,25.9807605743
12,594,14.0,-10.0,24.2487106323
13,645,13.0,-10.0,22.5166606903
14,638,12.0,-10.0,20.7846088409
15,656,11.0,-10.0,19.0525588989
16,577,10.0,-10.0,17.3205070496
17,593,9.0,-10.0,15.5884561539
18,628,8.0,-10.0,13.8564062119
19,644,7.0,-10.0,12.1243553162
20,654,6.0,-10.0,10.3923044205
21,592,5.0,-10.0,8.66025352478
22,633,4.0,-10.0,6.92820262909
23,591,3.0,-10.0,5.1961517334
24,641,1.99999988079,-10.0,3.46410131454
25,659,0.999999821186,-10.0,1.73205018044
26,609,3.5527136788e-15,-10.0,-6.57971952478e-07
