No.,weldNodeLabel,x,y,z,distance,time
1,583,27.1348457336,-12.4651079178,42.0687179565,0.0,0.0
2,655,26.1348457336,-12.4651079178,40.3366661072,2.00000090222,0.200000090222
3,393,25.1348457336,-12.4651079178,38.6046180725,3.99999850082,0.399999850082
4,396,24.1348457336,-12.4651079178,36.8725662231,5.99999940304,0.599999940304
5,399,23.1348457336,-12.4651079178,35.1405143738,8.00000030526,0.800000030526
6,402,22.1348457336,-12.4651079178,33.4084625244,10.0000012075,1.00000012075
7,405,21.1348457336,-12.4651079178,31.6764125824,12.0000004579,1.20000004579
8,408,20.1348457336,-12.4651079178,29.9443626404,13.9999997083,1.39999997083
9,411,19.1348457336,-12.4651079178,28.212310791,16.0000006105,1.60000006105
10,414,18.1348457336,-12.4651079178,26.480260849,17.9999998609,1.79999998609
11,417,17.1348457336,-12.4651079178,24.7482089996,20.0000007632,2.00000007632
12,420,16.1348457336,-12.4651079178,23.0161590576,22.0000000136,2.20000000136
13,423,15.1348457336,-12.4651079178,21.2841091156,23.999999264,2.3999999264
14,426,14.1348457336,-12.4651079178,19.5520572662,26.0000001662,2.60000001662
15,429,13.1348457336,-12.4651079178,17.8200073242,27.9999994166,2.79999994166
16,432,12.1348457336,-12.4651079178,16.0879554749,30.0000003188,3.00000003188
17,435,11.1348457336,-12.4651079178,14.3559045792,32.0000003951,3.20000003951
18,438,10.1348457336,-12.4651079178,12.6238546371,33.9999996456,3.39999996456
19,441,9.13484573364,-12.4651079178,10.8918037415,35.9999997219,3.59999997219
20,444,8.13484573364,-12.4651079178,9.15975284576,37.9999997982,3.79999997982
21,447,7.13484573364,-12.4651079178,7.42770195007,39.9999998745,3.99999998745
22,450,6.13484573364,-12.4651079178,5.69565105438,41.9999999508,4.19999999508
23,453,5.13484573364,-12.4651079178,3.96360015869,44.0000000271,4.40000000271
24,456,4.13484573364,-12.4651079178,2.23154950142,45.999999897,4.5999999897
25,459,3.13484573364,-12.4651079178,0.499498575926,47.9999999991,4.79999999991
26,572,2.13484573364,-12.4651079178,-1.23255228996,50.0000000496,5.00000000496
